student_id;attendance_pct;absence_hours;homework_pct;study_hours_per_week;midterm_score;informatique;mathematique;svt;physique;sport;education_islamique;francais;arabe;pass
50;71.0;46;69.0;7;67.0;69.9;55.8;69.3;58.5;83.6;78.3;58.0;62.5;1
51;57.0;80;56.0;4;58.0;63.0;70.3;52.8;68.2;53.0;46.2;62.3;48.1;0
52;84.0;41;81.0;9;79.0;66.5;92.3;78.9;72.2;82.8;76.0;75.6;87.7;1
53;36.0;134;41.0;2;47.0;43.7;44.9;45.9;28.2;18.7;79.0;70.3;45.2;0
54;77.0;29;73.0;8;71.0;77.5;96.0;86.7;73.3;55.3;39.1;77.1;63.1;1
55;89.0;40;88.0;11;86.0;78.3;77.2;98.8;92.7;84.6;98.8;85.8;71.9;1
56;63.0;80;62.0;5;59.0;66.3;53.6;58.8;53.0;33.3;81.3;85.7;39.9;0
57;49.0;100;46.0;3;51.0;49.3;52.4;49.3;48.1;56.8;37.6;59.4;55.1;0
58;85.0;36;83.0;10;81.0;76.0;81.1;93.4;89.6;65.6;87.3;94.9;60.1;1
59;68.0;71;66.0;6;64.0;66.0;76.6;64.2;56.4;40.1;73.7;76.0;59.1;1
60;53.0;88;51.0;4;55.0;43.9;60.1;47.2;54.7;61.5;41.6;55.5;75.6;0
61;92.0;20;91.0;13;87.6;100.0;86.7;100.0;100.0;45.2;77.1;100.0;91.6;1
62;86.0;23;84.0;10;82.0;75.6;82.2;79.9;92.1;86.7;89.0;76.2;74.3;1
63;61.0;54;59.0;4;57.0;55.6;48.7;54.9;70.4;69.1;44.5;67.3;45.6;0
64;74.0;26;72.0;7;69.0;56.3;53.3;62.5;66.6;97.4;73.6;63.5;78.8;1
65;43.0;116;45.0;3;50.0;47.1;50.2;28.5;55.1;51.6;35.7;53.0;78.8;0
66;88.0;28;91.0;14;92.5;98.3;92.0;85.9;100.0;78.1;96.8;89.0;100.0;1
67;80.0;50;79.0;8;76.0;87.6;73.6;74.2;68.4;68.3;85.5;87.0;63.4;1
68;54.0;92;57.0;5;59.0;73.1;62.5;80.2;52.6;34.7;20.4;79.0;69.4;0
69;91.0;9;89.0;11;85.0;83.1;72.4;95.3;81.4;82.5;95.3;86.5;83.6;1
70;70.0;73;67.0;6;65.0;67.9;76.4;78.0;77.6;53.0;41.4;61.6;64.1;1
71;34.0;117;39.0;2;44.0;33.9;61.5;49.0;46.9;30.5;16.8;61.5;51.9;0
72;83.0;34;80.0;9;77.3;75.7;85.5;100.0;85.5;57.8;82.4;84.3;47.4;1
73;76.0;48;74.0;8;72.0;65.7;72.8;88.3;78.1;62.6;43.6;96.0;68.9;1
74;50.0;101;47.0;4;52.0;56.1;57.8;54.8;51.2;45.4;55.7;49.3;45.7;0
75;94.0;0;96.0;15;92.4;100.0;100.0;77.6;100.0;100.0;61.2;100.0;100.0;1
76;66.0;73;63.0;5;61.0;49.4;49.4;76.4;65.6;82.6;73.0;42.5;49.3;0
77;81.0;26;87.0;10;85.0;70.1;87.4;79.7;79.0;96.6;92.1;77.7;97.4;1
78;47.0;118;53.0;3;55.0;61.8;59.8;52.2;58.6;30.6;76.0;53.2;47.8;0
79;88.0;26;90.0;12;85.5;88.6;84.0;76.8;99.4;68.3;100.0;66.8;100.0;1
80;72.0;56;70.0;7;68.0;64.5;61.6;69.8;65.1;87.5;68.0;67.4;60.0;1
81;56.0;82;54.0;4;56.0;60.6;45.6;42.7;64.2;60.9;53.5;57.8;62.7;0
82;85.0;41;82.0;9;79.8;74.7;83.6;71.4;85.9;48.1;100.0;88.3;86.0;1
83;38.0;126;42.0;2;46.0;65.7;56.1;28.8;37.5;36.5;49.6;55.7;38.1;0
84;78.0;75;75.0;8;73.0;76.0;79.3;68.1;75.3;56.5;62.1;97.3;69.3;1
85;90.0;33;89.0;11;88.0;92.3;88.7;78.0;93.7;75.9;90.1;99.4;86.0;1
86;61.0;89;60.0;5;58.0;43.4;50.2;69.9;44.8;86.7;66.0;43.1;59.9;0
87;48.0;108;44.0;3;49.0;57.8;40.6;43.6;49.3;50.1;65.2;53.9;31.5;0
88;87.0;28;85.0;10;83.0;86.4;84.2;92.1;87.8;89.4;78.7;58.7;86.7;1
89;69.0;73;67.0;6;65.0;66.9;55.3;52.3;73.7;63.4;79.2;64.6;64.6;1
90;54.0;82;52.0;4;55.0;50.1;55.9;50.2;51.4;49.1;60.2;49.0;74.1;0
91;93.0;14;92.0;13;89.9;88.5;87.2;100.0;92.1;100.0;57.6;93.8;100.0;1
92;84.0;26;83.0;10;81.0;83.9;69.6;88.7;92.2;65.9;63.4;92.1;92.2;1
93;60.0;98;58.0;4;56.0;59.7;61.9;49.1;55.6;43.8;47.0;63.4;67.4;0
94;75.0;55;73.0;7;70.0;61.2;78.1;68.8;70.8;84.7;46.5;76.2;73.7;1
95;41.0;135;43.0;3;48.0;51.7;66.0;41.8;44.1;36.4;36.6;40.6;66.7;0
96;89.0;43;92.0;14;93.4;90.7;90.0;100.0;90.8;100.0;100.0;76.1;100.0;1
97;79.0;26;77.0;8;75.0;66.2;69.6;75.5;75.4;85.5;97.3;70.0;60.4;1
98;55.0;84;56.0;5;58.0;42.6;49.6;69.6;45.2;54.3;49.5;65.3;87.8;0
99;91.0;27;90.0;12;88.0;77.4;89.6;89.8;94.3;94.0;74.4;90.0;94.3;1
100;52.0;87;50.0;4;53.0;49.7;52.1;57.5;57.0;57.6;40.9;46.5;62.7;0
101;91.8;4;58.2;7;58.0;69.2;63.2;57.2;59.4;45.8;64.1;69.6;35.4;1
102;46.0;150;54.1;2;44.6;43.7;47.5;36.7;46.4;54.0;49.1;31.5;47.9;0
103;57.6;96;47.3;4;37.1;43.9;34.4;44.6;32.1;28.4;45.2;44.9;23.2;0
104;93.5;11;86.0;8;62.2;63.0;68.3;63.5;49.4;59.7;60.8;75.7;57.0;1
105;99.1;14;51.2;13;74.0;69.9;77.0;64.8;59.2;95.1;66.6;71.9;87.6;1
106;74.7;52;86.3;8;74.8;56.9;66.5;86.8;79.9;70.7;77.3;68.1;92.3;1
107;82.2;59;81.2;12;69.0;63.8;90.5;75.0;76.9;41.3;69.1;65.6;70.0;1
108;73.9;36;82.5;8;57.5;43.8;65.2;44.6;67.6;47.8;52.7;66.6;71.7;0
109;41.9;129;35.6;2;41.7;44.9;49.2;62.9;48.3;51.1;13.2;13.2;50.7;0
110;83.1;50;70.8;10;75.5;76.7;70.6;86.7;73.9;86.4;65.3;67.4;77.1;1
111;43.1;108;47.7;2;24.3;35.5;25.5;24.8;36.4;13.3;13.2;25.4;20.3;0
112;75.3;53;75.5;11;75.9;96.1;75.6;81.0;73.4;61.0;65.1;71.7;83.3;1
113;60.0;85;31.0;2;38.5;50.0;56.4;20.7;25.9;37.5;71.5;27.0;18.9;0
114;89.1;8;81.4;7;67.1;77.8;72.3;82.1;51.0;59.6;51.9;73.4;68.6;1
115;51.0;125;15.0;3;43.5;42.7;49.8;27.7;26.0;64.4;47.4;62.9;27.0;0
116;88.7;23;100.0;11;78.1;69.8;94.5;78.3;89.6;53.8;59.1;100.0;79.8;1
117;86.6;19;70.1;4;60.5;60.3;53.5;36.4;54.8;92.8;64.2;52.6;69.5;0
118;85.9;43;80.9;7;78.1;68.3;86.6;75.6;68.6;96.6;70.3;86.5;72.3;1
119;42.4;99;47.9;3;23.0;38.0;27.8;23.0;16.5;15.7;15.7;27.4;19.8;0
120;48.3;81;53.2;6;50.0;57.2;52.4;37.0;47.4;36.4;49.7;65.2;54.7;1
121;88.6;41;72.0;6;74.1;69.8;77.7;86.4;76.2;69.2;75.7;67.3;70.4;1
122;63.3;83;38.3;3;43.1;40.2;38.9;42.6;26.4;52.0;50.6;36.8;57.2;1
123;31.7;137;56.8;3;36.3;31.0;40.6;20.3;25.2;52.8;19.0;43.8;57.6;0
124;80.4;41;87.5;7;82.7;93.5;84.1;70.4;93.2;47.4;81.7;100.0;91.5;1
125;100.0;0;92.4;8;76.2;68.8;78.0;78.4;66.3;85.5;79.1;62.8;90.7;1
126;50.2;110;44.2;2;43.7;41.9;33.1;41.9;49.6;26.9;85.0;32.0;39.3;0
127;77.9;28;81.1;6;71.1;69.7;75.3;75.5;47.0;97.3;74.9;58.3;70.7;1
128;85.6;23;68.7;10;70.5;61.8;58.7;70.3;73.9;79.0;86.7;72.9;60.7;1
129;91.6;33;59.0;7;67.3;73.0;66.9;75.3;55.6;70.5;60.8;74.5;61.8;1
130;39.2;122;48.6;4;33.7;31.5;24.6;44.3;47.6;47.3;18.4;37.5;18.4;0
131;96.3;0;62.8;13;84.5;84.6;98.4;86.7;96.9;86.3;56.8;67.0;99.4;1
132;37.4;121;33.3;4;48.4;47.9;54.8;36.4;53.3;62.4;66.3;26.1;39.9;0
133;68.0;57;72.2;8;63.5;63.8;76.9;72.1;80.2;74.6;43.4;51.5;45.5;0
134;80.3;56;85.3;11;60.2;50.2;47.9;65.4;59.8;58.2;64.6;60.2;75.3;0
135;55.9;82;48.6;4;43.1;51.6;34.3;55.6;33.3;49.8;25.4;51.2;43.5;0
136;69.6;61;83.9;8;83.9;84.8;74.1;74.4;76.7;96.9;96.9;70.4;96.9;1
137;21.3;134;24.3;1;28.4;30.4;24.9;30.6;32.7;31.8;40.9;25.5;10.0;0
138;93.5;0;69.8;7;74.4;65.2;71.8;73.2;61.3;59.7;93.0;75.9;95.0;1
139;94.6;11;94.0;6;82.9;76.9;83.5;92.8;86.9;64.8;98.7;74.1;85.6;1
140;81.3;66;74.9;11;66.6;50.2;64.2;72.5;73.7;66.4;67.1;73.7;64.9;1
141;96.5;6;89.8;12;67.3;65.9;61.8;72.8;64.0;82.0;45.3;91.2;55.4;1
142;45.2;92;52.1;2;45.8;60.9;46.4;39.8;43.7;62.5;33.5;36.6;43.0;0
143;31.2;141;63.0;2;45.7;29.8;39.6;48.3;38.0;63.5;62.1;51.6;32.8;0
144;74.3;19;69.4;10;80.9;74.8;76.0;71.8;86.5;83.3;94.0;72.0;88.9;1
145;98.7;0;96.4;7;73.4;81.2;80.9;66.8;76.7;35.7;100.0;69.4;76.9;1
146;72.5;54;84.8;4;55.9;48.9;65.5;43.6;60.4;60.5;81.2;44.7;42.4;0
147;93.9;17;84.0;6;71.1;94.1;81.0;53.7;90.4;61.3;41.4;48.9;98.0;1
148;85.2;54;74.8;13;81.7;69.7;83.4;65.8;81.5;78.6;97.4;84.2;93.0;1
149;90.3;22;100.0;9;67.5;60.9;79.3;65.8;63.8;59.5;84.7;66.8;59.3;1
150;59.7;57;29.0;3;44.2;42.6;30.4;46.9;29.2;51.7;62.2;49.0;41.6;0
151;40.7;104;32.9;5;33.4;42.1;29.9;25.0;22.5;25.8;33.6;38.6;49.7;0
152;88.7;42;75.3;9;80.6;81.2;76.6;69.0;66.9;93.2;92.6;87.4;78.0;1
153;96.7;0;71.2;12;75.7;73.7;70.7;71.7;68.5;67.0;92.1;83.2;78.6;1
154;44.1;108;55.1;3;39.2;39.5;18.1;42.6;35.9;72.2;40.8;24.9;39.6;0
155;32.5;124;47.6;3;46.7;41.7;31.8;49.1;46.0;51.3;41.4;46.8;65.4;0
156;81.4;38;79.9;7;68.2;79.4;66.6;65.8;64.7;57.7;74.9;48.9;87.6;1
157;51.0;108;62.7;4;47.0;48.7;37.9;47.6;34.2;39.8;67.5;55.2;45.1;1
158;75.2;61;87.0;10;58.0;64.9;73.6;53.1;36.6;70.7;71.6;43.2;50.5;1
159;100.0;0;73.7;11;70.1;70.4;70.3;67.7;71.1;77.4;68.8;55.7;79.4;1
160;39.5;121;30.0;7;46.5;35.6;44.6;46.7;35.2;34.8;63.9;68.1;43.2;1
161;90.8;22;51.2;11;68.8;69.0;80.7;61.9;77.1;65.9;68.0;69.1;58.8;1
162;42.9;125;40.1;3;39.7;48.6;32.0;48.9;28.7;51.1;53.0;14.5;40.8;0
163;79.8;28;67.4;13;70.1;75.6;79.7;73.3;85.4;85.5;26.9;68.0;66.4;1
164;88.3;25;48.0;16;80.8;89.2;93.8;87.0;85.9;80.0;74.3;71.2;65.0;1
165;69.5;63;54.8;7;47.6;45.2;46.6;39.8;73.2;72.8;18.2;48.6;36.4;0
166;74.9;64;59.2;11;69.9;76.0;75.7;56.7;70.3;78.7;55.6;56.0;90.2;1
167;45.3;101;49.9;1;29.2;31.3;25.1;32.4;17.3;13.3;47.3;40.4;26.6;0
168;74.8;63;63.6;9;81.8;76.4;73.3;84.3;74.0;71.0;99.6;92.1;83.7;1
169;72.6;75;81.0;12;72.6;78.4;77.1;68.8;70.7;92.8;75.3;58.9;58.7;1
170;86.1;0;59.9;9;85.9;96.5;90.3;77.4;87.3;82.5;96.5;95.2;61.4;1
171;48.9;128;38.1;3;33.2;40.0;24.4;14.9;26.1;38.2;34.8;45.8;41.4;0
172;92.7;30;82.6;6;74.2;75.9;79.9;72.9;67.1;73.9;83.2;67.9;72.9;1
173;33.6;155;56.7;2;50.6;54.0;47.8;31.9;41.6;27.4;85.2;56.3;60.7;0
174;65.0;68;61.2;12;78.6;81.3;87.1;73.2;76.3;79.5;97.1;48.4;85.9;1
175;74.1;62;77.8;6;55.8;89.2;63.7;48.7;54.3;49.0;18.6;53.8;69.1;0
176;72.5;53;92.7;11;69.4;83.8;73.0;67.9;65.7;69.4;56.6;40.5;98.4;1
177;44.6;109;46.6;2;33.1;19.8;51.8;22.2;26.5;27.0;64.2;36.0;17.3;0
178;55.5;124;51.2;3;44.7;66.6;40.0;62.7;48.2;54.8;10.1;42.6;32.6;0
179;51.3;113;56.0;1;38.8;40.2;47.1;45.9;45.1;36.6;15.3;27.5;52.7;0
180;43.2;129;39.1;2;36.6;29.0;23.0;40.6;30.5;33.0;67.8;32.1;36.7;0
181;31.2;141;37.9;3;27.0;23.1;22.9;34.0;25.6;52.2;10.0;24.4;23.9;0
182;32.3;142;54.4;6;38.9;43.2;37.4;22.3;36.0;14.5;79.8;40.8;37.2;0
183;92.0;31;62.3;8;76.6;84.5;81.2;80.3;83.1;83.5;56.8;80.1;63.4;1
184;84.7;10;71.3;16;75.6;77.1;82.1;96.9;73.1;46.8;96.4;60.5;71.9;1
185;54.7;87;53.2;7;42.9;41.1;42.2;42.3;45.1;58.1;49.8;47.1;17.5;1
186;84.5;22;84.7;11;69.8;61.3;70.8;78.4;63.4;85.2;69.8;65.5;63.9;1
187;50.5;106;45.6;6;32.2;22.7;21.9;27.9;29.3;86.4;24.0;13.3;32.1;0
188;65.3;83;76.7;10;83.2;86.5;90.5;83.1;81.4;97.7;63.5;86.2;76.6;1
189;88.9;21;100.0;6;59.3;60.2;61.5;55.1;58.2;67.4;82.9;34.6;54.5;1
190;85.9;28;65.1;14;70.3;76.7;67.0;50.8;67.3;91.7;63.7;60.1;85.0;1
191;39.7;156;33.9;3;45.2;54.9;54.8;41.1;37.4;47.9;49.0;32.6;44.0;0
192;87.6;18;83.0;11;78.4;75.3;71.9;99.9;80.4;75.8;59.8;100.0;64.2;1
193;80.1;67;83.8;11;84.6;89.6;77.2;81.7;87.3;100.0;53.8;100.0;87.3;1
194;91.5;26;76.6;7;82.8;93.3;83.4;76.9;69.5;99.9;92.9;71.0;75.5;1
195;79.8;34;57.2;7;65.8;54.9;50.9;84.5;73.5;46.7;68.2;67.7;80.1;1
196;76.6;57;93.3;8;64.0;77.5;82.7;51.4;70.9;56.4;81.8;45.5;45.7;1
197;77.0;61;79.1;8;81.9;82.2;87.5;80.8;65.2;94.3;62.9;88.0;94.3;1
198;47.6;103;20.1;1;49.6;47.3;51.8;54.2;49.0;42.3;39.6;57.7;54.8;0
199;81.7;26;93.1;9;68.3;63.8;71.7;87.1;66.3;77.3;59.1;70.2;50.9;1
200;82.0;19;75.3;11;78.0;90.2;80.9;81.6;79.3;69.0;84.2;85.6;53.2;1
201;79.2;31;74.4;10;86.0;88.8;89.4;84.2;89.9;100.0;69.8;98.6;67.5;1
202;78.9;9;73.4;14;73.5;50.3;70.5;77.0;73.7;73.6;95.9;63.3;83.7;1
203;69.3;61;65.3;6;73.2;78.2;77.1;66.4;74.9;46.7;100.0;72.7;69.3;1
204;98.3;2;60.6;7;66.1;70.3;71.2;94.3;45.8;78.2;53.8;58.4;56.7;1
205;75.8;68;100.0;12;76.2;69.6;75.4;60.8;78.5;88.0;87.0;86.7;63.6;1
206;91.2;22;81.4;11;59.0;50.6;59.7;68.3;63.3;45.4;62.6;42.5;79.7;1
207;40.9;107;56.7;2;34.8;49.2;35.4;47.5;36.9;15.6;27.8;25.1;40.9;0
208;31.1;147;54.0;2;37.6;53.0;43.2;34.9;27.4;29.6;29.8;44.7;38.2;0
209;49.9;105;32.4;2;48.5;52.5;48.9;46.1;45.4;42.3;69.7;50.2;32.8;0
210;99.9;1;82.5;6;72.0;89.4;64.6;83.1;84.9;59.7;66.2;58.9;69.3;1
211;83.7;4;87.2;12;69.3;64.8;67.1;67.8;62.1;67.5;95.7;70.0;59.4;1
212;79.5;41;75.6;14;74.4;68.2;80.7;94.6;77.1;74.7;73.8;42.0;84.2;1
213;85.2;24;84.0;8;72.5;87.1;74.3;99.8;80.8;51.4;74.1;68.5;44.0;1
214;87.8;4;79.4;9;56.8;55.5;66.2;48.8;37.5;55.8;57.2;62.1;71.3;0
215;89.7;28;81.6;12;62.3;74.0;59.0;51.2;61.0;54.5;84.3;59.7;54.8;1
216;78.5;42;93.7;10;74.4;83.9;65.7;85.4;72.9;67.8;96.6;57.3;65.7;1
217;72.9;72;91.3;14;90.1;92.7;91.1;75.3;100.0;100.0;82.8;100.0;79.1;1
218;47.1;85;38.6;3;38.5;39.7;46.3;38.6;45.9;18.0;38.4;30.8;50.2;0
219;84.3;35;87.7;12;82.2;82.7;92.6;86.8;89.5;85.1;71.1;67.2;82.6;1
220;85.7;44;59.1;10;89.8;100.0;100.0;100.0;92.8;86.4;39.0;100.0;100.0;1
221;79.0;58;74.4;8;79.4;64.0;84.3;78.4;82.4;90.6;77.3;80.1;78.2;1
222;92.7;10;83.9;10;64.6;72.3;63.6;70.6;79.2;84.1;65.4;56.7;25.0;1
223;82.5;31;73.4;10;74.6;56.6;67.8;79.6;89.8;72.4;81.6;86.8;62.2;1
224;87.3;29;67.6;12;77.4;68.2;81.0;98.7;67.0;69.3;81.1;86.3;67.7;1
225;65.0;61;97.0;11;60.3;71.6;66.1;66.3;54.4;57.6;53.1;70.6;42.8;1
226;76.7;37;92.1;9;87.6;94.0;87.2;93.7;80.3;83.9;62.0;100.0;100.0;1
227;68.4;54;96.7;16;76.4;96.6;63.8;73.3;74.6;96.6;80.9;66.5;58.8;1
228;80.9;16;63.9;10;70.9;90.3;74.3;63.8;76.2;79.1;39.3;82.1;62.0;1
229;99.4;0;85.3;9;69.3;78.9;72.6;70.4;73.3;60.7;65.3;45.7;87.4;1
230;46.0;93;30.2;5;39.7;49.0;43.3;44.8;36.6;49.5;34.7;47.7;11.9;0
231;38.7;117;63.0;1;34.2;24.2;20.9;33.8;37.6;35.3;33.2;36.9;51.7;0
232;82.3;56;70.0;9;81.2;82.4;89.4;92.4;79.8;89.1;56.5;65.7;94.2;1
233;80.5;39;80.8;9;67.2;59.8;81.9;57.2;70.4;51.3;84.7;67.8;64.4;1
234;91.7;0;78.4;11;67.2;68.8;65.5;74.7;67.0;71.9;32.0;92.3;65.3;1
235;50.0;106;29.3;3;28.6;23.2;27.0;34.4;15.7;13.1;36.8;54.0;24.7;0
236;48.9;103;39.5;5;25.1;10.0;10.0;27.9;25.9;18.9;22.3;64.9;20.8;0
237;88.6;17;68.9;10;73.9;87.1;77.2;70.5;48.2;61.7;95.0;65.9;85.5;1
238;70.0;70;56.6;4;40.0;33.5;42.9;27.9;39.2;42.3;47.5;27.1;59.6;1
239;78.6;45;54.6;9;76.3;91.5;76.3;76.6;68.0;94.3;82.0;72.4;49.3;1
240;97.0;0;60.8;8;78.6;71.1;70.4;93.2;80.3;100.0;63.4;73.3;76.8;1
241;45.4;89;34.4;3;31.2;15.3;17.7;27.5;30.5;20.6;60.6;49.2;28.2;0
242;25.1;140;33.1;2;33.7;30.3;34.2;29.9;38.7;44.1;16.8;53.4;22.2;0
243;26.8;110;46.3;1;41.6;60.1;50.9;29.6;32.8;79.6;29.9;35.3;14.6;0
244;39.5;99;37.8;4;28.0;30.8;33.6;10.0;36.3;27.3;50.6;25.6;10.0;0
245;82.6;33;92.8;7;72.5;42.9;83.6;62.0;76.4;70.2;99.4;77.2;68.4;1
246;34.1;116;52.2;1;44.2;59.3;47.9;53.8;47.5;12.6;27.8;55.5;49.3;0
247;94.6;12;83.6;7;68.8;44.5;79.3;72.5;78.7;36.0;95.0;96.6;47.8;1
248;50.7;111;41.0;1;42.9;39.8;54.0;27.5;32.4;48.6;46.4;36.5;58.0;0
249;88.8;16;90.0;9;81.4;95.3;71.0;95.3;77.0;49.2;95.3;78.4;89.5;1
250;55.2;90;45.7;2;46.8;47.6;25.7;45.7;35.0;73.8;54.5;43.9;48.1;0
251;75.0;73;100.0;14;79.5;75.6;75.7;81.7;85.2;73.4;93.1;85.2;66.3;1
252;48.2;86;53.1;3;48.2;58.2;45.3;41.3;47.8;34.7;41.5;50.7;66.1;0
253;81.1;38;55.8;12;68.5;68.4;65.3;75.9;68.2;46.7;95.4;66.4;61.7;1
254;52.6;91;44.5;3;52.0;59.3;63.3;74.3;48.9;23.2;49.6;41.3;56.1;0
255;88.5;35;65.5;6;76.6;53.4;76.1;79.3;78.9;93.7;93.7;65.7;72.0;1
256;80.3;27;78.0;13;63.9;67.6;60.9;49.8;61.5;60.6;86.8;54.8;69.2;1
257;100.0;0;86.4;10;82.5;94.3;78.1;73.8;69.3;94.3;94.3;70.4;85.5;1
258;70.4;48;80.6;11;91.4;78.5;85.0;76.6;99.9;99.9;98.3;99.9;93.3;1
259;42.0;119;36.3;2;26.6;28.4;34.0;29.8;27.3;12.2;30.4;38.4;12.2;0
260;84.8;33;81.3;8;70.7;59.8;73.5;61.2;80.6;100.0;52.1;78.0;60.1;1
261;83.3;30;55.8;8;51.6;44.8;60.8;45.9;60.0;48.2;52.5;57.0;43.6;0
262;85.9;50;99.4;8;86.0;83.0;80.5;94.0;85.7;100.0;91.4;80.2;73.5;1
263;93.8;5;70.0;10;84.6;86.4;86.7;94.3;92.1;82.4;88.2;82.0;64.7;1
264;45.6;96;63.0;1;32.8;40.8;36.6;31.8;25.2;35.4;10.7;35.4;46.6;0
265;30.5;156;19.5;5;34.1;35.5;35.9;41.9;29.1;39.7;28.7;19.9;42.1;0
266;81.6;50;75.8;6;90.1;100.0;88.7;71.8;100.0;89.6;74.4;96.3;100.0;1
